ID,Nom,Frais,Frais EXTRA: Moyen - MED,Frais EXTRA: Lourd - HVY,Frais EXTRA: Volumineux - BLK,Frais EXTRA: Surdimensionné - OVS,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Informations
28,Khemisset,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
29,Tiflet,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
30,Mohammedia,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
31,Ain Harrouda,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
32,Dakhla,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
33,Kenitra,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
34,Sidi Taibi,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Non,Non,
35,Sidi Yahya El Gharb,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
37,Mechra Bel Ksiri,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
38,Sidi Sliman (reg kacem),45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
39,Sidi Kacem,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
40,Mehdya,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
41,Tan Tan,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
42,Guelmim,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
43,Bouizakarne,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
46,Atlas Saghir ifrane,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
47,Timoulay,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
48,Sidi Ifni,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
49,Rabat,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
50,Sale,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
51,Sale Al Jadida-سلا,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
52,Temara,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
53,Tamesna,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
54,Skhirat,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
55,Ouarzazat,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
56,Ait Zineb,45.00,+15,+35,+55,+75,Non,Oui,Non,Non,Non,Oui,Non,
57,Tabounte,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
58,Tajda,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
59,Timdline,45.00,+15,+35,+55,+75,Oui,Non,Non,Oui,Non,Oui,Non,
60,Tifoultoute,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
61,Ifran,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Non,Oui,Non,
62,Azrou(reg meknes),45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Non,Oui,Non,
63,Agadir,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
64,Inzegane,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
65,Dcheira,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
66,Ait Meloul,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
67,Sidi Bibi - Agadir,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
68,Taghazoute,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
69,Fes,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
70,Ain Bida,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
71,Oulad Ettayeb,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
72,Ain Allah,45.00,+15,+35,+55,+75,Oui,Non,Oui,Oui,Oui,Oui,Non,
73,Sidi Harazem,45.00,+15,+35,+55,+75,Oui,Non,Oui,Oui,Oui,Oui,Non,
74,Essmara,45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
75,Berrchid,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
76,Settat,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
77,Deroua,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
78,Nouaceur,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
79,Had Soualem,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
80,Al Hoceima,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
81,Ajdir (Région Hociema),45.00,+15,+35,+55,+75,Non,Oui,Non,Oui,Non,Oui,Non,
82,Boukidaren,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
83,Ait Kamra,45.00,+15,+35,+55,+75,Non,Oui,Non,Non,Non,Oui,Non,
84,Imzouren,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
85,Youssoufia,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
86,Essaouira,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
87,Ounagha,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
88,Taftecht,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
89,Had Draa,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
90,Mejji,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
91,Talmest,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
92,Akermoud,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
93,Zaouiet Bouzarktoune,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
94,Ghazoua,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
95,Smimou,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
96,Tamanar,45.00,+15,+35,+55,+75,Oui,Non,Oui,Non,Oui,Non,Non,
97,Sidi Kaouki,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
98,Tanger,40.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
99,Mrirt,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
100,Khenifra,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
101,Ben Guerir,35.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
102,Taroudannt,45.00,+15,+35,+55,+75,Oui,Oui,Oui,Oui,Oui,Oui,Non,
